Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2015-01-02 00:00:00-05:00,37.27697345788412,37.27697345788412,36.88121509221527,37.08330535888672,3500,0.0,0.0,0.0
2015-01-05 00:00:00-05:00,36.65385857101004,36.65385857101004,36.40967035557448,36.46861267089844,11500,0.0,0.0,0.0
2015-01-06 00:00:00-05:00,36.426520223276846,36.56124601855219,36.08128517212652,36.20759201049805,8400,0.0,0.0,0.0
2015-01-07 00:00:00-05:00,36.31705811422173,36.50230407714844,36.291794819005446,36.50230407714844,1400,0.0,0.0,0.0
2015-01-08 00:00:00-05:00,36.872787135237395,37.14223861694336,36.872787135237395,37.14223861694336,2800,0.0,0.0,0.0
2015-01-09 00:00:00-05:00,37.06644644271279,37.06644644271279,36.881197388198395,36.93172073364258,3300,0.0,0.0,0.0
2015-01-12 00:00:00-05:00,36.53597182620734,36.68753868887432,36.51913070678711,36.51913070678711,1000,0.0,0.0,0.0
2015-01-13 00:00:00-05:00,37.04962452225562,37.05804347813421,36.2412698490415,36.29179000854492,2000,0.0,0.0,0.0
2015-01-14 00:00:00-05:00,36.09812174099424,36.27495193481445,35.87919355585311,36.27495193481445,66500,0.0,0.0,0.0
2015-01-15 00:00:00-05:00,36.03917609293634,36.03917609293634,35.9802337711328,36.013916015625,500,0.0,0.0,0.0
2015-01-16 00:00:00-05:00,36.089697463545654,36.24126434326172,36.089697463545654,36.24126434326172,8700,0.0,0.0,0.0
2015-01-20 00:00:00-05:00,36.57808645419376,36.57808645419376,36.216010283952386,36.28337478637695,6400,0.0,0.0,0.0
2015-01-21 00:00:00-05:00,36.60334329369679,36.72964689529493,36.5780800036846,36.67912673950195,1200,0.0,0.0,0.0
2015-01-22 00:00:00-05:00,36.91489978127974,37.17593239047834,36.594924842925984,37.15066909790039,21100,0.0,0.0,0.0
2015-01-23 00:00:00-05:00,37.21803113262907,37.21803113262907,37.07488319121267,37.08330535888672,3900,0.0,0.0,0.0
2015-01-26 00:00:00-05:00,36.940148367871245,37.05803298950195,36.940148367871245,37.05803298950195,900,0.0,0.0,0.0
2015-01-27 00:00:00-05:00,36.79701138583984,36.79701138583984,36.67912673950195,36.67912673950195,1200,0.0,0.0,0.0
2015-01-28 00:00:00-05:00,36.78016470381616,36.78016470381616,36.426507606142714,36.544395446777344,3800,0.0,0.0,0.0
2015-01-29 00:00:00-05:00,36.291774236514506,36.552806724931926,36.04758607676577,36.460182189941406,1300,0.0,0.0,0.0
2015-01-30 00:00:00-05:00,36.26652452211869,36.33388900756836,36.20758220340796,36.33388900756836,800,0.0,0.0,0.0
2015-02-02 00:00:00-05:00,36.21601096740186,36.21601096740186,36.04760613239493,36.20759201049805,1800,0.0,0.0,0.0
2015-02-03 00:00:00-05:00,36.847528107124425,36.965415954589844,36.70438339623239,36.965415954589844,8200,0.0,0.0,0.0
2015-02-04 00:00:00-05:00,36.965415954589844,36.965415954589844,36.965415954589844,36.965415954589844,100,0.0,0.0,0.0
