Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-02 00:00:00-05:00,21710.30078125,21807.83984375,21534.0703125,21665.3203125,0,0.0,0.0
2015-01-05 00:00:00-05:00,21665.310546875,21665.310546875,21233.560546875,21269.060546875,0,0.0,0.0
2015-01-06 00:00:00-05:00,21291.23046875,21348.7109375,20947.220703125,21060.25,0,0.0,0.0
2015-01-07 00:00:00-05:00,21111.33984375,21323.880859375,21111.33984375,21301.669921875,0,0.0,0.0
2015-01-08 00:00:00-05:00,21359.439453125,21687.55078125,21359.439453125,21672.390625,0,0.0,0.0
2015-01-09 00:00:00-05:00,21672.390625,21692.150390625,21428.2109375,21497.119140625,0,0.0,0.0
2015-01-12 00:00:00-05:00,21497.119140625,21537.5390625,21262.33984375,21330.630859375,0,0.0,0.0
2015-01-13 00:00:00-05:00,21330.689453125,21628.720703125,21118.30078125,21280.560546875,0,0.0,0.0
2015-01-14 00:00:00-05:00,21280.560546875,21280.560546875,20922.33984375,21164.94921875,0,0.0,0.0
2015-01-15 00:00:00-05:00,21164.94921875,21268.08984375,20941.94921875,20953.33984375,0,0.0,0.0
2015-01-16 00:00:00-05:00,20953.33984375,21254.849609375,20920.619140625,21244.6796875,0,0.0,0.0
2015-01-20 00:00:00-05:00,21244.6796875,21335.580078125,21078.689453125,21258.140625,0,0.0,0.0
2015-01-21 00:00:00-05:00,21258.140625,21418.6796875,21152.240234375,21352.669921875,0,0.0,0.0
2015-01-22 00:00:00-05:00,21352.669921875,21697.01953125,21298.169921875,21685.029296875,0,0.0,0.0
2015-01-23 00:00:00-05:00,21685.029296875,21691.650390625,21575.7109375,21588.009765625,0,0.0,0.0
2015-01-26 00:00:00-05:00,21588.009765625,21688.740234375,21490.25,21685.830078125,0,0.0,0.0
2015-01-27 00:00:00-05:00,21685.830078125,21685.830078125,21321.619140625,21435.560546875,0,0.0,0.0
2015-01-28 00:00:00-05:00,21435.560546875,21560.970703125,21123.560546875,21135.5703125,0,0.0,0.0
2015-01-29 00:00:00-05:00,21135.5703125,21354.98046875,20999.26953125,21329.58984375,0,0.0,0.0
2015-01-30 00:00:00-05:00,21329.58984375,21345.44921875,21045.55078125,21060.439453125,0,0.0,0.0
2015-02-02 00:00:00-05:00,21060.439453125,21314.609375,20902.23046875,21310.470703125,0,0.0,0.0
2015-02-03 00:00:00-05:00,21310.470703125,21626.26953125,21310.470703125,21624.779296875,0,0.0,0.0
2015-02-04 00:00:00-05:00,21624.779296875,21666.16015625,21490.619140625,21536.439453125,0,0.0,0.0
2015-02-05 00:00:00-05:00,21536.439453125,21785.25,21536.439453125,21774.5,0,0.0,0.0
2015-02-06 00:00:00-05:00,21774.5,21870.630859375,21649.41015625,21705.75,0,0.0,0.0
2015-02-09 00:00:00-05:00,21705.75,21705.810546875,21559.189453125,21602.51953125,0,0.0,0.0
2015-02-10 00:00:00-05:00,21602.51953125,21836.580078125,21602.51953125,21813.970703125,0,0.0,0.0
2015-02-11 00:00:00-05:00,21813.970703125,21857.240234375,21701.23046875,21807.2109375,0,0.0,0.0
2015-02-12 00:00:00-05:00,21807.2109375,22022.240234375,21807.2109375,22022.240234375,0,0.0,0.0
2015-02-13 00:00:00-05:00,22022.240234375,22120.8203125,22013.599609375,22120.810546875,0,0.0,0.0
2015-02-17 00:00:00-05:00,22120.810546875,22164.7890625,22047.529296875,22152.310546875,0,0.0,0.0
2015-02-18 00:00:00-05:00,22152.310546875,22161.029296875,22074.490234375,22161.029296875,0,0.0,0.0
2015-02-19 00:00:00-05:00,22161.029296875,22184.349609375,22070.529296875,22141.1796875,0,0.0,0.0
2015-02-20 00:00:00-05:00,22141.1796875,22278.720703125,22020.5703125,22278.55078125,0,0.0,0.0
2015-02-23 00:00:00-05:00,22278.55078125,22278.55078125,22189.810546875,22260.0,0,0.0,0.0
2015-02-24 00:00:00-05:00,22260.0,22329.26953125,22221.310546875,22308.640625,0,0.0,0.0
2015-02-25 00:00:00-05:00,22308.640625,22369.060546875,22271.470703125,22314.560546875,0,0.0,0.0
2015-02-26 00:00:00-05:00,22314.560546875,22314.560546875,22206.869140625,22278.23046875,0,0.0,0.0
2015-02-27 00:00:00-05:00,22278.23046875,22294.990234375,22209.169921875,22212.33984375,0,0.0,0.0
2015-03-02 00:00:00-05:00,22212.33984375,22346.580078125,22212.33984375,22346.240234375,0,0.0,0.0
2015-03-03 00:00:00-05:00,22346.240234375,22346.240234375,22161.58984375,22255.7890625,0,0.0,0.0
2015-03-04 00:00:00-05:00,22255.7890625,22255.7890625,22048.830078125,22158.51953125,0,0.0,0.0
2015-03-05 00:00:00-05:00,22158.51953125,22227.259765625,22135.2890625,22192.83984375,0,0.0,0.0
2015-03-06 00:00:00-05:00,22192.83984375,22192.83984375,21848.630859375,21886.4296875,0,0.0,0.0
2015-03-09 00:00:00-04:00,21886.4296875,21997.2890625,21886.4296875,21960.689453125,0,0.0,0.0
2015-03-10 00:00:00-04:00,21960.689453125,21960.689453125,21616.91015625,21616.91015625,0,0.0,0.0
2015-03-11 00:00:00-04:00,21616.91015625,21676.75,21577.380859375,21600.880859375,0,0.0,0.0
2015-03-12 00:00:00-04:00,21600.880859375,21874.060546875,21600.880859375,21869.630859375,0,0.0,0.0
2015-03-13 00:00:00-04:00,21869.630859375,21869.630859375,21613.16015625,21746.759765625,0,0.0,0.0
2015-03-16 00:00:00-04:00,21746.759765625,22007.609375,21746.759765625,22006.560546875,0,0.0,0.0
2015-03-17 00:00:00-04:00,22006.560546875,22006.560546875,21862.359375,21963.9296875,0,0.0,0.0
2015-03-18 00:00:00-04:00,21963.939453125,22290.400390625,21840.25,22216.599609375,0,0.0,0.0
2015-03-19 00:00:00-04:00,22216.599609375,22216.599609375,22089.33984375,22135.810546875,0,0.0,0.0
2015-03-20 00:00:00-04:00,22135.80078125,22376.189453125,22135.80078125,22330.890625,0,0.0,0.0
2015-03-23 00:00:00-04:00,22330.890625,22388.099609375,22293.009765625,22293.01953125,0,0.0,0.0
2015-03-24 00:00:00-04:00,22293.01953125,22326.33984375,22171.869140625,22172.19921875,0,0.0,0.0
2015-03-25 00:00:00-04:00,22172.19921875,22227.279296875,21832.169921875,21832.169921875,0,0.0,0.0
2015-03-26 00:00:00-04:00,21832.169921875,21891.509765625,21673.009765625,21782.91015625,0,0.0,0.0
